id	rank	upgradeType	title	description	basePrice	clickBonus	passiveBonus	specialDuration
1	Intern	Click	Нервный клик	Мышка страдает вместе с тобой	50	1	0	0
2	Intern	Click	Первый дедлайн	Ты не понял, но уже срочно	160	2	0	0
3	Intern	Click	Слепой тык	Метод научный, просто без науки	500	3	0	0
4	Intern	Passive	Фоновая паника	KPI капает, тревога тоже	75	0	1	0
5	Intern	Passive	Автоответчик стажёра	Никто не читает, но работает	110	0	2	0
6	Intern	Passive	Чужая инструкция	Скопировал чужое, получил своё	1100	0	7	0
7	Intern	Special	Бесплатный кофе	Руки трясутся, но работа идёт	345	3	8	10
8	Intern	Special	Ментор онлайн	Сейчас объяснит и исчезнет снова	2350	8	15	15
9	Junior	Click	Горящие клавиши	Пальцы болят, но ты жмёшь дальше	450	10	0	0
10	Junior	Click	Ctrl+C Ctrl+V	Если прокатило, значит правильно	1100	20	0	0
11	Junior	Click	Спросить в чате	Ответят через три часа	2700	35	0	0
12	Junior	Passive	Фоновая суета	Что-то делается само	600	0	5	0
13	Junior	Passive	Вечный статус	Вроде занят, вроде нет	800	0	10	0
14	Junior	Passive	Задача висит	Никто не трогает, KPI идёт	12000	0	70	0
15	Junior	Special	Гугл знает лучше	Документация для слабых	2000	50	100	10
16	Junior	Special	Срочный фикс	Сломал одно, поднял другое	8800	100	200	15
17	Junior	Special	Созвон без цели	Время умерло, отчёт родился	22000	180	350	12
18	Middle	Click	Костыль работает	Главное не трогать	5500	100	0	0
19	Middle	Click	Быстрый ревью	Посмотрел бегло, осудил уверенно	13000	200	0	0
20	Middle	Click	Тык в проде	Смело, опасно, почти профессионально	53000	550	0	0
21	Middle	Passive	Автопилот задач	Ты устал, система делает вид	7300	0	50	0
22	Middle	Passive	Тихий переработ	Никто не просил, но надо	9700	0	100	0
23	Middle	Passive	Табличная магия	Формулы плачут, KPI растёт	163000	0	700	0
24	Middle	Special	Перерыв на мемы	Мозг перезагрузился, вина осталась	22500	800	1500	12
25	Middle	Special	Нашёл виноватого	Команда выдохнула, ты нет	93000	1800	3200	15
26	Middle	Special	Минус один баг	Появилось два, но потом	285000	3500	6000	12
