ID,Section,Context,RU,EN
LOC_0001,UI,Главное меню - подзаголовок,Корпоративный симулятор выживания,Corporate survival simulator
LOC_0002,UI,Главное меню - кнопка продолжить,НАЧАТЬ СМЕНУ,START SHIFT
LOC_0003,UI,Главное меню - кнопка начать,НАЧАТЬ,START
LOC_0004,UI,Главное меню - кнопка новой карьеры,НОВАЯ КАРЬЕРА,NEW CAREER
LOC_0005,UI,Кнопка - настройки,Настройки,Settings
LOC_0006,UI,Кнопка - статистика,Статистика,Statistics
LOC_0007,UI,Кнопка - выход,Выход,Exit
LOC_0008,UI,Пауза - заголовок,ПАУЗА,PAUSE
LOC_0009,UI,Пауза - кнопка продолжить,Продолжить смену,Continue Shift
LOC_0010,UI,Кнопка - главное меню,Главное меню,Main Menu
LOC_0011,UI,Кнопка - вернуться к работе,Назад к работе,Back to Work
LOC_0012,UI,Настройки - заголовок,НАСТРОЙКИ,SETTINGS
LOC_0013,UI,Настройки - музыка,Музыка,Music
LOC_0014,UI,Настройки - звуки,Звуки,Sound
LOC_0015,UI,Настройки - полный экран,Полный экран,Fullscreen
LOC_0016,UI,Кнопка - назад,Назад,Back
LOC_0017,UI,Статистика - заголовок экрана,ОТЧЁТ О ПРОИЗВОДИТЕЛЬНОСТИ,PERFORMANCE REPORT
LOC_0018,UI,Статистика - подпись комментария,Комментарий HR:,HR comment:
LOC_0019,UI,Карьерный трек - заголовок,КАРЬЕРНЫЙ ТРЕК,CAREER TRACK
LOC_0020,UI,Диалог - кнопка подтвердить,Подтвердить,Confirm
LOC_0021,UI,Диалог - кнопка отмены (верхний регистр),ОТМЕНА,CANCEL
LOC_0022,UI,Диалог - кнопка отмены,Отмена,Cancel
LOC_0023,UI,Оффлайн-награда - кнопка забрать,ЗАБРАТЬ,CLAIM
LOC_0024,UI,Попап повышения - кнопка продолжить,Продолжить,Continue
LOC_0025,UI,Финал - кнопка остаться CEO,ОСТАТЬСЯ CEO,STAY CEO
LOC_0026,UI,"Карточка - оверлей «всё куплено», заголовок",ПЛАН ВЫПОЛНЕН,PLAN COMPLETE
LOC_0027,UI,"Карточка - оверлей «всё куплено», описание",Больше задач не завезли.,No more tasks were shipped.
LOC_0028,UI,HUD - пассивный доход,+{0} KPI / сек,+{0} KPI / sec
LOC_0029,UI,Карьерный трек - до повышения,До повышения: {0} XP,Until promotion: {0} XP
LOC_0030,UI,Карьерный трек - максимальный ранг,Максимальный ранг достигнут,Max rank reached
LOC_0031,UI,Таймер сессии - в офисе,в офисе: {0},in office: {0}
LOC_0032,UI,Статистика - подпись «время в офисе»,Время в офисе:,Time in office:
LOC_0033,UI,Статистика - подпись «KPI заработано»,KPI заработано:,KPI earned:
LOC_0034,UI,Статистика - подпись «кликов совершено»,Кликов совершено:,Clicks made:
LOC_0035,UI,Статистика - подпись «текущий ранг»,Текущий ранг:,Current rank:
LOC_0036,UI,Статистика - подпись «карьера»,Карьера:,Career:
LOC_0037,UI,Статистика - статус «активна»,Активна,Active
LOC_0038,UI,Статистика - статус «завершена»,Завершена,Complete
LOC_0039,UI,Статистика - флейвор 1,Показатели приемлемые. Отдых не одобрен.,Metrics acceptable. Rest denied.
LOC_0040,UI,Статистика - флейвор 2,Компания ценит ваше потраченное время.,The company values your wasted time.
LOC_0041,UI,Статистика - флейвор 3,Продуктивность на уровне. Ожиданий нет.,Productivity is fine. Expectations are not.
LOC_0042,UI,Статистика - флейвор 4,HR доволен. Это подозрительно.,HR is pleased. Suspicious.
LOC_0043,UI,Статистика - флейвор 5,Вы кликаете. Это уже больше чем от вас ждали.,You click. That's already more than expected.
LOC_0044,UI,Статистика - флейвор 6,Прогресс зафиксирован. Премия не предусмотрена.,Progress logged. Bonus not included.
LOC_0045,UI,Статистика - флейвор 7,Данные получены. Выводы неутешительны.,Data received. Conclusions are bleak.
LOC_0046,UI,Статистика - флейвор 8,Спасибо за службу. Продолжайте страдать.,Thank you for your service. Keep suffering.
LOC_0047,UI,Туториал - заголовок,ПЕРВАЯ СМЕНА,FIRST SHIFT
LOC_0048,UI,Туториал - текст,"Кликайте по рабочей зоне, чтобы выжимать KPI. Покупайте карточки, чтобы работать эффективнее и страдать продуктивнее. XP двигает вас к следующему рангу.",Click the work zone to squeeze out KPI. Buy cards to work more efficiently and suffer more productively. XP moves you toward the next rank.
LOC_0049,UI,Оффлайн-попап - заголовок,ПОКА ВАС НЕ БЫЛО,WHILE YOU WERE AWAY
LOC_0050,UI,Оффлайн-попап - описание,"Офис сделал вид, что работал.",The office pretended to work.
LOC_0051,UI,Финал - заголовок,КАРЬЕРА ЗАВЕРШЕНА,CAREER COMPLETE
LOC_0052,UI,Финал - текст,"Вы достигли CEO. Теперь можно ничего не понимать, но уверенно согласовывать процессы.",You reached CEO. Now you can understand nothing and approve processes with confidence.
LOC_0053,UI,Финал - подпись «итоговый KPI»,Итоговый KPI:,Final KPI:
LOC_0054,UI,"Финал - подтверждение, заголовок",НАЧАТЬ НОВУЮ КАРЬЕРУ?,START A NEW CAREER?
LOC_0055,UI,"Финал - подтверждение, текст","Текущий прогресс будет сброшен. HR обещает, что в этот раз будет иначе.",Current progress will be reset. HR promises this time will be different.
LOC_0056,UI,Диалог «новая карьера» - заголовок,Новая карьера,New Career
LOC_0057,UI,Диалог «новая карьера» - текст,Начать заново? Весь прогресс будет сброшен.,Start over? All progress will be reset.
LOC_0058,UI,Диалог «сброс прогресса» - заголовок,Сброс прогресса,Reset Progress
LOC_0059,UI,Диалог «сброс прогресса» - текст,"Сбросить весь прогресс? Игра начнётся с нуля, как при первом запуске.","Reset all progress? The game will start from zero, like the first launch."
LOC_0060,UI,Диалог «главное меню» - текст,Выйти в главное меню? Прогресс будет сохранён.,Exit to main menu? Progress will be saved.
LOC_0061,UI,Диалог «выход» - текст,Выйти из игры? Прогресс будет сохранён.,Exit the game? Progress will be saved.
LOC_0062,CARDS,Карточка 1 (Intern/Click) - название,Нервный клик,Nervous Click
LOC_0063,CARDS,Карточка 1 (Intern/Click) - описание,Мышка страдает вместе с тобой,The mouse suffers with you
LOC_0064,CARDS,Карточка 2 (Intern/Click) - название,Первый дедлайн,First Deadline
LOC_0065,CARDS,Карточка 2 (Intern/Click) - описание,"Ты не понял, но уже срочно","You don't get it, but it's urgent"
LOC_0066,CARDS,Карточка 3 (Intern/Click) - название,Слепой тык,Blind Poke
LOC_0067,CARDS,Карточка 3 (Intern/Click) - описание,"Метод научный, просто без науки","Scientific method, minus science"
LOC_0068,CARDS,Карточка 58 (Intern/Click) - название,Тык по инструкции,Click by Manual
LOC_0069,CARDS,Карточка 58 (Intern/Click) - описание,"Ничего не понял, но нажал","Understood nothing, clicked anyway"
LOC_0070,CARDS,Карточка 4 (Intern/Passive) - название,Фоновая паника,Background Panic
LOC_0071,CARDS,Карточка 4 (Intern/Passive) - описание,"KPI капает, тревога тоже","KPI drips, anxiety too"
LOC_0072,CARDS,Карточка 5 (Intern/Passive) - название,Автоответчик стажёра,Intern Autoreply
LOC_0073,CARDS,Карточка 5 (Intern/Passive) - описание,"Никто не читает, но работает","Nobody reads it, but it works"
LOC_0074,CARDS,Карточка 59 (Intern/Passive) - название,Стажёрская очередь,Intern Queue
LOC_0075,CARDS,Карточка 59 (Intern/Passive) - описание,"Ждёшь ответа, KPI капает","Waiting for an answer, KPI drips"
LOC_0076,CARDS,Карточка 60 (Intern/Passive) - название,Открытый туториал,Open Tutorial
LOC_0077,CARDS,Карточка 60 (Intern/Passive) - описание,"Вкладка висит, польза считается","Tab stays open, value counts"
LOC_0078,CARDS,Карточка 6 (Intern/Passive) - название,Чужая инструкция,Someone's Manual
LOC_0079,CARDS,Карточка 6 (Intern/Passive) - описание,"Скопировал чужое, получил своё","Copied theirs, earned yours"
LOC_0080,CARDS,Карточка 7 (Intern/Special) - название,Бесплатный кофе,Free Coffee
