id	rank	upgradeType	title	description	basePrice	clickBonus	passiveBonus	specialDuration
1	Intern	Click	Нервный клик	Мышка страдает вместе с тобой	25	1	0	0
2	Intern	Click	Первый дедлайн	Ты не понял, но уже срочно	55	1	0	0
3	Intern	Click	Слепой тык	Метод научный, просто без науки	110	2	0	0
4	Intern	Passive	Фоновая паника	KPI капает, тревога тоже	40	0	1	0
5	Intern	Passive	Автоответчик стажёра	Никто не читает, но работает	85	0	2	0
6	Intern	Passive	Чужая инструкция	Скопировал чужое, получил своё	165	0	3	0
7	Intern	Special	Бесплатный кофе	Руки трясутся, но работа идёт	65	3	5	10
8	Intern	Special	Ментор онлайн	Сейчас объяснит и исчезнет снова	130	5	8	15
9	Junior	Click	Горящие клавиши	Пальцы болят, но ты жмёшь дальше	280	2	0	0
10	Junior	Click	Ctrl+C Ctrl+V	Если прокатило, значит правильно	640	4	0	0
11	Junior	Click	Спросить в чате	Ответят через три часа	1300	7	0	0
12	Junior	Passive	Фоновая суета	Что-то делается само	430	0	5	0
13	Junior	Passive	Вечный статус	Вроде занят, вроде нет	980	0	12	0
14	Junior	Passive	Задача висит	Никто не трогает, KPI идёт	1950	0	22	0
15	Junior	Special	Гугл знает лучше	Документация для слабых	800	20	40	10
16	Junior	Special	Срочный фикс	Сломал одно, поднял другое	1600	30	60	15
17	Junior	Special	Созвон без цели	Время умерло, отчёт родился	2800	50	90	12
18	Middle	Click	Костыль работает	Главное не трогать	3300	20	0	0
19	Middle	Click	Быстрый ревью	Посмотрел бегло, осудил уверенно	7600	40	0	0
20	Middle	Click	Тык в проде	Смело, опасно, почти профессионально	15500	64	0	0
21	Middle	Passive	Автопилот задач	Ты устал, система делает вид	5100	0	50	0
22	Middle	Passive	Тихий переработ	Никто не просил, но надо	11600	0	120	0
23	Middle	Passive	Табличная магия	Формулы плачут, KPI растёт	23000	0	220	0
24	Middle	Special	Перерыв на мемы	Мозг перезагрузился, вина осталась	9600	180	400	12
25	Middle	Special	Нашёл виноватого	Команда выдохнула, ты нет	19200	280	600	15
26	Middle	Special	Минус один баг	Появилось два, но потом	34000	450	900	12
27	Senior	Click	Боевой рефактор	Всё страшно, но стало быстрее	40000	200	0	0
28	Senior	Click	Правка на лету	Проверять будем уже после релиза	92000	400	0	0
29	Senior	Click	Жёсткий приоритет	Всё важно, но это важнее	188000	640	0	0
30	Senior	Click	Последний аргумент	Кликнул так, что спор закончился	378000	1100	0	0
31	Senior	Passive	Система держится	Никто не знает почему	63000	0	500	0
32	Senior	Passive	Наследие легаси	Старый ужас приносит KPI	143000	0	1200	0
33	Senior	Passive	Невидимая работа	Её нет, пока не сломается	285000	0	2200	0
34	Senior	Special	Релизный угар	Паника временно повышает продуктивность	118000	3000	5000	12
35	Senior	Special	Магия опыта	Ты уже страдал похожим образом	235000	4500	7500	15
36	Senior	Special	Тишина в чате	Редкий баф на концентрацию	410000	7000	12000	12
37	Lead	Click	Давление сверху	Кликаешь быстрее, потому что надо	535000	2600	0	0
38	Lead	Click	Разбор полётов	Все виноваты, KPI твой	1220000	5200	0	0
39	Lead	Click	Сильное решение	Сомнительно, зато уверенно сказано	2470000	8400	0	0
40	Lead	Click	Пинок процессу	Процесс застонал и ускорился	5050000	14400	0	0
41	Lead	Passive	Делегировал боль	Другие страдают, KPI капает	840000	0	6500	0
42	Lead	Passive	Планёрка кормит	Слова закончились, цифры выросли	1880000	0	16000	0
43	Lead	Passive	Командная усталость	Каждый выгорел в общий зачёт	3750000	0	29000	0
44	Lead	Special	Эскалация наверх	Проблема улетела, бонус остался	1550000	40000	65000	12
45	Lead	Special	Фокус режим	Все молчат подозрительно долго	3100000	60000	100000	15
46	Lead	Special	Отмена встречи	День внезапно стал продуктивным	5400000	95000	160000	12
47	CEO	Click	Клик акционера	Один жест, и все побежали	7600000	34000	0	0
48	CEO	Click	Стратегический тык	Никто не понял, но записали	17200000	68000	0	0
49	CEO	Click	Большая кнопка	Нажал красиво, последствия потом	35500000	110000	0	0
50	CEO	Click	Видение сверху	Деталей нет, зато масштабно	73000000	190000	0	0
51	CEO	Passive	Деньги сами	KPI пахнет чужими переработками	11600000	0	85000	0
52	CEO	Passive	Совет директоров	Сидят дорого, капает стабильно	26200000	0	210000	0
53	CEO	Passive	Мотивационная речь	Все устали, прибыль поверила	52500000	0	380000	0
54	CEO	Passive	Золотой парашют	Даже падение приносит доход	99000000	0	660000	0
55	CEO	Special	Массовая оптимизация	Людей меньше, график бодрее	21200000	550000	1500000	12
56	CEO	Special	Великая презентация	Слайды сияют, реальность молчит	42500000	850000	2300000	15
57	CEO	Special	Кризисный бонус	Всё горит, но премия капает	75000000	1350000	3700000	12
