ID,Section,Context,RU
LOC_0001,UI,Главное меню - подзаголовок,Корпоративный симулятор выживания
LOC_0002,UI,Главное меню - кнопка продолжить,НАЧАТЬ СМЕНУ
LOC_0003,UI,Главное меню - кнопка начать,НАЧАТЬ
LOC_0004,UI,Главное меню - кнопка новой карьеры,НОВАЯ КАРЬЕРА
LOC_0005,UI,Кнопка - настройки,Настройки
LOC_0006,UI,Кнопка - статистика,Статистика
LOC_0007,UI,Кнопка - выход,Выход
LOC_0008,UI,Пауза - заголовок,ПАУЗА
LOC_0009,UI,Пауза - кнопка продолжить,Продолжить смену
LOC_0010,UI,Кнопка - главное меню,Главное меню
LOC_0011,UI,Кнопка - вернуться к работе,Назад к работе
LOC_0012,UI,Настройки - заголовок,НАСТРОЙКИ
LOC_0013,UI,Настройки - музыка,Музыка
LOC_0014,UI,Настройки - звуки,Звуки
LOC_0015,UI,Настройки - полный экран,Полный экран
LOC_0016,UI,Кнопка - назад,Назад
LOC_0017,UI,Статистика - заголовок экрана,ОТЧЁТ О ПРОИЗВОДИТЕЛЬНОСТИ
LOC_0018,UI,Статистика - подпись комментария,Комментарий HR:
LOC_0019,UI,Карьерный трек - заголовок,КАРЬЕРНЫЙ ТРЕК
LOC_0020,UI,Диалог - кнопка подтвердить,Подтвердить
LOC_0021,UI,Диалог - кнопка отмены (верхний регистр),ОТМЕНА
LOC_0022,UI,Диалог - кнопка отмены,Отмена
LOC_0023,UI,Оффлайн-награда - кнопка забрать,ЗАБРАТЬ
LOC_0024,UI,Попап повышения - кнопка продолжить,Продолжить
LOC_0025,UI,Финал - кнопка остаться CEO,ОСТАТЬСЯ CEO
LOC_0026,UI,"Карточка - оверлей «всё куплено», заголовок",ПЛАН ВЫПОЛНЕН
LOC_0027,UI,"Карточка - оверлей «всё куплено», описание",Больше задач не завезли.
LOC_0028,UI,HUD - пассивный доход,+{0} KPI / сек
LOC_0029,UI,Карьерный трек - до повышения,До повышения: {0} XP
LOC_0030,UI,Карьерный трек - максимальный ранг,Максимальный ранг достигнут
LOC_0031,UI,Таймер сессии - в офисе,в офисе: {0}
LOC_0032,UI,Статистика - подпись «время в офисе»,Время в офисе:
LOC_0033,UI,Статистика - подпись «KPI заработано»,KPI заработано:
LOC_0034,UI,Статистика - подпись «кликов совершено»,Кликов совершено:
LOC_0035,UI,Статистика - подпись «текущий ранг»,Текущий ранг:
LOC_0036,UI,Статистика - подпись «карьера»,Карьера:
LOC_0037,UI,Статистика - статус «активна»,Активна
LOC_0038,UI,Статистика - статус «завершена»,Завершена
LOC_0039,UI,Статистика - флейвор 1,Показатели приемлемые. Отдых не одобрен.
LOC_0040,UI,Статистика - флейвор 2,Компания ценит ваше потраченное время.
LOC_0041,UI,Статистика - флейвор 3,Продуктивность на уровне. Ожиданий нет.
LOC_0042,UI,Статистика - флейвор 4,HR доволен. Это подозрительно.
LOC_0043,UI,Статистика - флейвор 5,Вы кликаете. Это уже больше чем от вас ждали.
LOC_0044,UI,Статистика - флейвор 6,Прогресс зафиксирован. Премия не предусмотрена.
LOC_0045,UI,Статистика - флейвор 7,Данные получены. Выводы неутешительны.
LOC_0046,UI,Статистика - флейвор 8,Спасибо за службу. Продолжайте страдать.
LOC_0047,UI,Туториал - заголовок,ПЕРВАЯ СМЕНА
